title,year,decade,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings_source,ratings_value,metascore,imdbrating,imdbvotes,imdbid,dvd,boxoffice,production,website,response,tomatourl
Miss Julie,2014,2010,PG-13,10 Sep 2014,129 min,"Drama, Romance",Liv Ullmann,"August Strindberg (play), Liv Ullmann (screenplay)","Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy","Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.",English,"Norway, UK, France, Ireland",1 win & 7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMjY3MzI5M15BMl5BanBnXkFtZTgwNTkxNTU0MzE@._V1_SX300.jpg,Internet Movie Database,5.6/10,56,5.6,"3,470",tt2667960,04 May 2015,N/A,Wrekin Hill Entertainment,http://www.lionsgate.com/,True,http://www.rottentomatoes.com/m/miss_julie_2014/
The Santa Clause 2,2002,2000,G,01 Nov 2002,104 min,"Comedy, Family, Fantasy",Michael Lembeck,"Don Rhymer (screenplay), Cinco Paul (screenplay), Ken Daurio (screenplay), Ed Decter (screenplay), John J. Strauss (screenplay), Leo Benvenuti (characters), Steve Rudnick (characters), Leo Benvenuti (story), Steve Rudnick (story)","Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd","Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.",English,USA,1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjU0Njk5MTA2Nl5BMl5BanBnXkFtZTYwODkzMzQ3._V1_SX300.jpg,Internet Movie Database,5.6/10,48,5.6,"37,693",tt0304669,18 Nov 2003,"$139,225,854",Buena Vista Pictures,http://disney.go.com/disneypictures/santaclause2/index.html,True,http://www.rottentomatoes.com/m/the_santa_clause_2/
Listening,2014,2010,N/A,11 Sep 2015,100 min,"Drama, Sci-Fi, Thriller",Khalil Sullins,Khalil Sullins,"Thomas Stroppel, Artie Ahr, Amber Marie Bollinger, Christine Haeberman",A team of genius-but-broke grad students invent mind-reading technology that destroys their lives and threatens the future of free-will itself.,English,"Cambodia, USA",2 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyOTkxOTc1MF5BMl5BanBnXkFtZTgwODAwODQ2NjE@._V1_SX300.jpg,Internet Movie Database,5.6/10,35,5.6,"2,561",tt3153582,26 Jul 2016,N/A,Young Medium,http://www.listeningmovie.com,True,http://www.rottentomatoes.com/m/listening_2014/
Money Train,1995,1990,R,22 Nov 1995,110 min,"Action, Comedy, Crime",Joseph Ruben,"Doug Richardson (story), Doug Richardson (screenplay), David Loughery (screenplay)","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,"33,594",tt0113845,22 May 2001,N/A,Sony Pictures Home Entertainment,N/A,True,http://www.rottentomatoes.com/m/money_train/
Legends of Oz: Dorothy's Return,2013,2010,PG,09 May 2014,88 min,"Animation, Adventure, Family","Will Finn, Dan St. Pierre","Roger S. Baum (novel), Randi Barnes (screenplay), Adam Balsam (screenplay), Dan St. Pierre (contributing writer)","Dan Aykroyd, James Belushi, Kelsey Grammer, Lea Michele","Shortly after a tornado rips through her Kansas home, Dorothy returns to Oz to save her friends from a villainous jester.",English,"USA, India",1 win & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0Nzg3ODc1NF5BMl5BanBnXkFtZTgwNTYzNjQzMTE@._V1_SX300.jpg,Internet Movie Database,5.6/10,25,5.6,"5,288",tt0884726,26 Aug 2014,"$6,455,823",Clarius Entertainment,http://www.legendsofozmovie.com/,True,http://www.rottentomatoes.com/m/legends_of_oz_dorothys_return/
Barnyard,2006,2000,PG,04 Aug 2006,90 min,"Animation, Comedy, Family",Steve Oedekerk,Steve Oedekerk,"Kevin James, Courteney Cox, Sam Elliott, Danny Glover","When the farmer's away, all the animals play ... and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",English,"Germany, USA, Netherlands",3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NDE0ODYyNF5BMl5BanBnXkFtZTcwNjQ3NzAzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,42,5.6,"22,393",tt0414853,12 Dec 2006,"$72,601,713",Paramount Pictures,http://www.barnyardmovie.com/,True,http://www.rottentomatoes.com/m/barnyard/
Kicking & Screaming,2005,2000,PG,13 May 2005,95 min,"Comedy, Family, Romance",Jesse Dylan,"Leo Benvenuti, Steve Rudnick","Will Ferrell, Robert Duvall, Mike Ditka, Kate Walsh","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating...","English, Italian",USA,7 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA5Njk1MjEzMzZeQTJeQWpwZ15BbWU3MDY3NjY4MjE@._V1_SX300.jpg,Internet Movie Database,5.6/10,45,5.6,"31,442",tt0384642,11 Oct 2005,"$52,580,895",Universal Pictures,http://www.kickingandscreamingmovie.com/,True,http://www.rottentomatoes.com/m/kicking_and_screaming/
Valiant,2005,2000,G,19 Aug 2005,76 min,"Animation, Adventure, Comedy",Gary Chapman,"George Webster (story), Jordan Katz (screenplay), George Webster (screenplay), George Melrod (screenplay)","Ewan McGregor, Ricky Gervais, Tim Curry, Jim Broadbent","Set in 1944, Valiant is a woodland pigeon who wants to become a great hero someday. When he hears they are hiring recruits for the Royal Homing Pigeon Service, he immediately sets out for ...",English,"UK, USA",2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BYWQ4ZDVhMDUtNTFjNi00YWE1LWI0NTMtYTZhZTFlZTE2NWY2XkEyXkFqcGdeQXVyNjIzODI5OTQ@._V1_SX300.jpg,Internet Movie Database,5.6/10,45,5.6,"16,834",tt0361089,13 Dec 2005,"$19,355,116",Buena Vista,http://disney.go.com/disneypictures/valiant/,True,http://www.rottentomatoes.com/m/valiant/
Pixels,2015,2010,PG-13,24 Jul 2015,105 min,"Action, Comedy, Family",Chris Columbus,"Tim Herlihy (screenplay), Timothy Dowling (screenplay), Tim Herlihy (screen story), Patrick Jean (short film)","Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","English, Hindi, Japanese, English","USA, China, Canada",2 wins & 9 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzM4NDY5N15BMl5BanBnXkFtZTgwNzg1NTI3MzE@._V1_SX300.jpg,Internet Movie Database,5.6/10,27,5.6,"102,511",tt2120120,27 Oct 2015,"$66,412,009",Sony Pictures,http://www.facebook.com/PixelsMovie,True,http://www.rottentomatoes.com/m/pixels/
Unfriended,2014,2010,R,17 Apr 2015,83 min,"Drama, Horror, Mystery",Levan Gabriadze,Nelson Greaves,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend.",English,USA,3 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzdlNWI2MjYtMWY3ZC00N2EzLWIzNTgtZDY2NGI4OTY3Yzc5XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,Internet Movie Database,5.6/10,59,5.6,"50,796",tt3713166,11 Aug 2015,"$31,354,666",Universal Pictures,http://www.facebook.com/UnfriendedMovie,True,http://www.rottentomatoes.com/m/unfriended/
Timeline,2003,2000,PG-13,26 Nov 2003,116 min,"Action, Adventure, Sci-Fi",Richard Donner,"Michael Crichton (novel), Jeff Maguire (screenplay), George Nolfi (screenplay)","Paul Walker, Frances O'Connor, Gerard Butler, Billy Connolly",A group of archaeologists become trapped in the past when they go there to retrieve a friend. The group must survive in 14th century France before they can escape back to the 21st Century.,"English, French",USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTAyNDE3NV5BMl5BanBnXkFtZTYwOTkzMzE3._V1_SX300.jpg,Internet Movie Database,5.6/10,28,5.6,"54,548",tt0300556,13 Apr 2004,"$19,375,474",Paramount Pictures,http://www.timelinemovie.com,True,http://www.rottentomatoes.com/m/timeline/
Q,2011,2010,N/A,14 Sep 2011,103 min,Drama,Laurent Bouhnik,Laurent Bouhnik (screenplay),"Déborah Révy, Hélène Zimmer, Gowan Didi, Johnny Amaro","In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cecile, a character who symbolizes desire.",French,France,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4OTk5Mjg3MF5BMl5BanBnXkFtZTcwMDIyNDY2Nw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,"4,522",tt1879030,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/q_2011/
"You, Me and Dupree",2006,2000,PG-13,14 Jul 2006,110 min,"Comedy, Romance","Anthony Russo, Joe Russo",Michael LeSieur,"Owen Wilson, Kate Hudson, Matt Dillon, Michael Douglas","A best man (Wilson) stays on as a houseguest with the newlyweds, much to the couple's annoyance.",English,USA,2 wins & 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxOTg0MzczOV5BMl5BanBnXkFtZTcwODk1MTQzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,46,5.6,"70,774",tt0463034,21 Nov 2006,"$75,604,320",Universal Pictures,http://www.youmeanddupree.com/,True,http://www.rottentomatoes.com/m/you_me_and_dupree/
Don't Be Afraid of the Dark,2010,2010,R,26 Aug 2011,99 min,"Fantasy, Horror, Thriller",Troy Nixey,"Guillermo del Toro (screenplay), Matthew Robbins (screenplay), Nigel McKeand","Bruce Gleeson, Eddie Ritchard, Garry McDonald, Bailee Madison",A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.,English,"USA, Australia, Mexico",4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMDk4ODU0OV5BMl5BanBnXkFtZTcwMDY2NDE0Ng@@._V1_SX300.jpg,Internet Movie Database,5.6/10,56,5.6,"42,110",tt1270761,03 Jan 2012,"$23,900,000",Miramax Films,http://www.dontbeafraidofthedark.com,True,http://www.rottentomatoes.com/m/dont_be_afraid_of_the_dark_2011/
The Oh in Ohio,2006,2000,R,02 Feb 2007,88 min,"Comedy, Drama, Romance",Billy Kent,"Sarah Bird (story), Billy Kent (story), Adam Wierzbianski (screenplay), Adam Wierzbianski (story)","Parker Posey, Danny DeVito, Winter Ave Zoli, Miranda Bailey",Priscilla Chase is a woman who has never had an orgasm.,English,USA,2 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MjM1OTk1OF5BMl5BanBnXkFtZTcwNzE2NzYzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,48,5.6,"5,608",tt0422861,05 Dec 2006,N/A,Cyan Pictures,http://www.theohinohio.com/,True,http://www.rottentomatoes.com/m/1159100-oh_in_ohio/
Closure,2007,2000,R,27 Apr 2007,80 min,Thriller,Dan Reed,Dan Reed,"Danny Dyer, Gillian Anderson, Adam Rayner, Antony Byrne","After surviving a gang rape and mugging, a middle aged businesswoman and her 23 year old boyfriend plot to murder their attackers, but find themselves conflicted about carrying out their plans.",English,UK,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDI5NTQ5Ml5BMl5BanBnXkFtZTcwNDk5NjA1MQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,"5,955",tt0480011,18 Sep 2007,N/A,Sony Pictures Entertainment,N/A,True,http://www.rottentomatoes.com/m/10008126-straightheads/
The Banger Sisters,2002,2000,R,20 Sep 2002,98 min,"Comedy, Drama",Bob Dolman,Bob Dolman,"Goldie Hawn, Susan Sarandon, Geoffrey Rush, Erika Christensen","Lavinia and Suzette, former rock groupies and best friends, reconnect after twenty years; one is still as wild as ever, while the other has adopted a more conservative lifestyle.",English,USA,Nominated for 1 Golden Globe. Another 1 win.,https://images-na.ssl-images-amazon.com/images/M/MV5BZjA1OTQxNGEtNTRjNi00MWIwLWEyZGYtNGRjOGEwNzE5OWU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Internet Movie Database,5.6/10,48,5.6,"12,859",tt0280460,28 Jan 2003,"$30,194,326",Fox Searchlight Pictures,http://www.foxsearchlight.com/thebangersisters/index.html,True,http://www.rottentomatoes.com/m/banger_sisters/
The Nutty Professor,1996,1990,PG-13,28 Jun 1996,95 min,"Comedy, Romance, Sci-Fi",Tom Shadyac,"Jerry Lewis, Bill Richmond, David Sheffield (screenplay), Barry W. Blaustein (screenplay), Tom Shadyac (screenplay), Steve Oedekerk (screenplay)","Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,English,USA,Won 1 Oscar. Another 9 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODlmZDktNWRkOC00NTFlLTkyMjQtYWUxMzZkNDE4MGVmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Internet Movie Database,5.6/10,62,5.6,"91,577",tt0117218,20 Jan 1998,N/A,Universal Pictures,http://www.universalpictures.com/,True,http://www.rottentomatoes.com/m/1071708-nutty_professor/
The Muse,1999,1990,PG-13,27 Aug 1999,97 min,Comedy,Albert Brooks,"Albert Brooks, Monica Mcgowan Johnson","Albert Brooks, Sharon Stone, Andie MacDowell, Jeff Bridges","With his career on the skids, a Hollywood screenwriter enlists the aid of a modern-day muse, who proves to test his patience.",English,USA,Nominated for 1 Golden Globe. Another 2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTczNjQ5OV5BMl5BanBnXkFtZTcwNzkxOTMyMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,56,5.6,"9,582",tt0164108,01 May 2001,N/A,October Films,http://www.themusemovie.com/index.html,True,http://www.rottentomatoes.com/m/muse/
Rodeo Girl,2016,2010,PG,05 Jan 2016,108 min,"Family, Sport",Joel Paul Reisig,"Tricia Hopper (screenwriter), Aletha Rodgers (screenwriter)","Kevin Sorbo, Derek Brandon, Yassie Hawkes, Tiffany Burns","Shipped off to her American dad's ranch for the summer, a teen and her horse Lucky Lass compete for a spot at the National Youth Rodeo.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTI1Mjk2OV5BMl5BanBnXkFtZTgwMzg4OTM2NzE@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,101,tt4062896,05 Jan 2016,N/A,N/A,N/A,True,https://www.rottentomatoes.com/m/rodeo_girl_2016
Over the Hill to the Poorhouse,1920,1920,N/A,17 Sep 1920,110 min,"Drama, Crime",Harry F. Millarde,"Will Carleton (poems), Paul Sloane (scenario)","Mary Carr, James Sheridan, Noel Tearle, William Welsh","The mother of a large family is abandoned by her children and faces consignment to the poorhouse. But one of her offspring, the one no one had faith in, returns to rescue her.",N/A,USA,N/A,N/A,Internet Movie Database,5.6/10,N/A,5.6,7,tt0011549,N/A,N/A,N/A,N/A,True,N/A
The FP,2011,2010,R,13 Mar 2011,82 min,Comedy,"Brandon Trost, Jason Trost","Jason Trost (story), Brandon Trost, Jason Trost","Jason Trost, Brandon Barrera, Art Hsu, Caitlyn Folley","In a post apocalyptic future, two rival gangs fight for control of Frazier Park by playing """"Beat Beat Revelation"""", a deadly version of Dance, Dance, Revolution(TM).",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMzQxMDk2MF5BMl5BanBnXkFtZTcwMTM0MjM1Nw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,48,5.6,"1,436",tt1296373,19 Jun 2012,"$24,656",Drafthouse Films,http://drafthousefilms.com/film/the-fp,True,http://www.rottentomatoes.com/m/the_fp/
All the Boys Love Mandy Lane,2006,2000,R,06 Sep 2013,90 min,Horror,Jonathan Levine,Jacob Forman,"Amber Heard, Anson Mount, Michael Welch, Whitney Able","A group of high-schoolers invite Mandy Lane, an innocent, desirable girl, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop mysteriously.",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM0MjU1MzUzMF5BMl5BanBnXkFtZTcwMjcwNDQyOQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,44,5.6,"27,141",tt0490076,03 Dec 2013,N/A,Radius-TWC,http://alltheboyslovemandylane.com/,True,http://www.rottentomatoes.com/m/mandy-lane/
Arnolds Park,2007,2000,PG-13,20 Jul 2007,103 min,"Mystery, Thriller",Gene Teigland,"James A. Kreitel, Gene Teigland","Erik Allen, Randy Baranczyk, Chris Carlson, Ben Coler","In the eyes of his classmates, Francis Larson is nothing more than an overweight social outcast. After being sent to prison when he's forced to confess to the murder, everyone including his...",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MDEzNzg3OF5BMl5BanBnXkFtZTcwMzUyMTU1MQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,94,tt1074931,N/A,N/A,N/A,N/A,True,http://www.rottentomatoes.com/m/arnolds_park_2007/
The Big Swap,1998,1990,N/A,12 Jun 1998,122 min,Drama,Niall Johnson,Niall Johnson,"Mark Adams, Sorcha Brooks, Mark Caven, Alison Egan",Five thirty-something couples decide to indulge in some friendly partner swapping with disastrous results for their marriages and friendship.,English,UK,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NjM1OTE0OF5BMl5BanBnXkFtZTcwOTMyNDMyMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,N/A,5.6,289,tt0118717,N/A,N/A,N/A,N/A,True,N/A
Mirror Mirror,2012,2010,PG,30 Mar 2012,106 min,"Adventure, Comedy, Drama",Tarsem Singh,"Marc Klein (screenplay), Jason Keller (screenplay), Melisa Wallack (screen story)","Julia Roberts, Lily Collins, Armie Hammer, Nathan Lane",An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,English,"USA, Canada",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMjU4MTUwNTVeQTJeQWpwZ15BbWU3MDk2MzkwMjc@._V1_SX300.jpg,Internet Movie Database,5.6/10,46,5.6,"73,809",tt1667353,26 Jun 2012,"$64,933,670",Relativity Media,http://www.mirrormirrorfilm.com/,True,http://www.rottentomatoes.com/m/mirror_mirror_2012/
Mighty Joe Young,1998,1990,PG,25 Dec 1998,114 min,"Action, Adventure, Family",Ron Underwood,"Merian C. Cooper (story), Ruth Rose (earlier screenplay), Mark Rosenthal (screenplay), Lawrence Konner (screenplay)","Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth",A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by a zoologist and a young woman whom he grew up with. A poacher from the past returns to seek vengeance on him.,"English, Swahili",USA,Nominated for 1 Oscar. Another 1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTM5MDk1Ml5BMl5BanBnXkFtZTcwMjI3MDIyMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,51,5.6,"24,069",tt0120751,23 Mar 1999,N/A,Buena Vista,N/A,True,http://www.rottentomatoes.com/m/1084582-mighty_joe_young/
L!fe Happens,2011,2010,R,13 Apr 2012,100 min,Comedy,Kat Coiro,"Kat Coiro (screenplay), Krysten Ritter (screenplay)","Krysten Ritter, Kate Bosworth, Rachel Bilson, Geoff Stults","A comedy centered on two best friends, Kim and Deena, who fight to maintain normalcy in their lives after Kim gets pregnant and has a baby.",English,"USA, Canada",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExOTk3MTcwNV5BMl5BanBnXkFtZTcwMjk1NDU2Nw@@._V1_SX300.jpg,Internet Movie Database,5.6/10,44,5.6,"6,533",tt1726589,14 Aug 2012,N/A,PMK-BNC,http://www.lifehappensfilm.com/,True,http://www.rottentomatoes.com/m/lfe_happens/
The Black Dahlia,2006,2000,R,15 Sep 2006,121 min,"Crime, Drama, Mystery",Brian De Palma,"Josh Friedman (screenplay), James Ellroy (novel)","Josh Hartnett, Scarlett Johansson, Aaron Eckhart, Hilary Swank","Two policemen see their personal and professional lives fall apart in the wake of the """"Black Dahlia"""" murder investigation.","English, German","Germany, USA, France",Nominated for 1 Oscar. Another 4 wins & 12 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MDc1OTQ5NF5BMl5BanBnXkFtZTcwNzE1ODUzMQ@@._V1_SX300.jpg,Internet Movie Database,5.6/10,49,5.6,"65,151",tt0387877,26 Dec 2006,"$22,518,325",Universal Pictures,http://www.theblackdahliamovie.net,True,http://www.rottentomatoes.com/m/black_dahlia/
